Age,Gender,Ayear,scl_med_t,free_time,frnd_prsnl,scl_sprt_v_prsnl,scl_spc_cnt_ppl,scl_md_lmt,scl_md_mt_frn,pref_talk,Othr_pst,Oth_lkd_wshd,scl_md_jn,I_or_E,scl_md_C19,scl_md_1,scl_md_2,scl_md_3,scl_md_4,scl_md_5,scl_md_6,scl_md_ol,lnl_1,lnl_2,lnl_3,lnl_4,lnl_5,lnl_6,lnl_7,lnl_8,lnl_9,lnl_10,lnl_11,lnl_12,lnl_13,lnl_14,lnl_15,lnl_16,lnl_17,lnl_18,lnl_19,lnl_20,lnl_ol,compuls
20,1,3,1,2,4,3,3,1,2,2,1,0,1,1,1,2,1,1,1,1,1,7,4,1,1,3,4,3,2,3,4,4,3,3,3,3,4,3,3,3,3,3,40,1.5
21,1,3,1,1,4,2,3,1,2,2,2,1,4,0,2,2,2,1,1,1,3,10,3,3,2,2,3,3,3,2,3,4,2,3,4,2,3,2,2,2,4,4,44,1.5
19,1,1,1,2,1,3,2,4,1,2,1,1,3,0,0,3,3,3,1,1,1,12,3,3,3,4,4,4,1,1,3,4,1,3,1,1,1,4,3,3,3,3,37,0
19,1,1,1,2,3,3,3,2,2,2,3,2,4,0,2,2,2,1,3,1,3,12,3,3,1,2,4,3,1,3,3,4,1,2,2,2,4,4,2,3,4,4,35,1
19,0,3,5,3,2,3,2,2,2,2,1,1,1,0,1,4,3,3,3,3,3,19,3,3,3,4,3,1,4,3,3,3,3,3,4,4,1,1,3,4,4,4,57,9
20,0,3,3,4,3,1,1,2,1,2,1,0,3,0,1,1,4,3,3,3,4,18,2,3,2,2,3,2,3,3,3,3,4,1,4,4,4,4,1,4,4,4,48,5
17,0,2,1,3,1,1,2,2,1,2,1,0,3,0,1,1,1,4,4,1,1,12,1,1,1,1,1,1,4,4,1,1,1,1,1,1,4,4,1,4,4,4,47,1
22,1,4,1,2,2,2,2,1,1,2,1,2,3,1,1,4,2,4,2,5,4,21,3,2,2,3,3,2,2,4,2,4,1,3,1,2,3,4,3,2,3,3,42,1.5
20,1,3,4,1,4,2,2,1,1,2,3,2,3,1,1,2,3,3,4,2,3,17,2,2,3,2,2,2,2,2,3,3,3,3,4,4,2,2,3,4,2,2,58,7.5
20,0,3,1,3,4,2,2,1,3,2,3,0,3,0,1,1,1,3,1,1,1,8,3,1,1,4,4,4,1,1,1,4,1,1,1,1,4,4,1,1,4,4,24,1.5
19,1,1,1,4,1,4,3,2,1,2,1,0,4,0,0,1,1,2,1,2,3,10,3,2,2,4,4,3,3,4,2,3,1,2,3,2,3,2,1,1,4,4,39,1
20,0,2,1,3,3,1,2,1,1,2,3,0,3,0,1,1,4,5,5,3,5,23,4,4,4,2,4,2,4,2,4,3,4,2,4,3,4,4,4,4,4,2,52,1.5
20,1,3,1,3,1,1,1,1,1,2,1,2,3,0,1,1,3,1,3,1,2,11,4,4,2,4,3,2,4,2,3,2,3,3,1,2,4,2,2,2,4,3,44,1.5
19,1,1,4,2,3,2,2,4,1,2,1,1,4,1,1,4,3,2,3,3,4,19,3,1,2,3,3,2,3,4,3,2,3,2,4,3,3,1,3,4,2,1,56,6
21,1,3,1,2,3,3,2,2,1,2,1,0,3,1,0,1,2,3,2,1,1,10,3,2,3,4,3,2,3,2,4,4,3,3,3,2,4,3,2,3,4,4,41,1
20,1,1,5,3,3,1,2,4,2,2,3,0,4,1,1,3,4,5,3,4,3,22,3,3,2,2,2,2,2,3,2,4,1,1,4,1,3,2,4,2,4,2,47,8
20,0,3,3,2,2,1,2,1,2,1,3,1,1,0,2,1,3,4,2,2,3,15,2,3,4,3,3,2,3,3,2,1,1,1,2,3,1,2,3,3,4,4,52,5.5
19,0,3,1,4,1,1,1,1,1,2,1,0,2,0,0,1,1,2,1,1,1,7,3,2,3,2,3,3,3,1,1,2,3,1,3,1,3,3,1,1,3,3,43,1.5
18,0,1,1,4,1,1,2,1,3,1,3,2,1,1,0,3,2,4,2,3,3,17,3,3,2,2,2,2,3,2,3,3,3,3,3,3,2,3,3,3,2,2,54,1.5
19,1,1,1,4,4,1,2,1,1,2,1,1,1,0,1,1,1,1,3,1,1,8,3,2,2,2,3,3,1,3,2,4,1,1,1,2,4,2,2,2,4,4,36,1.5
20,1,1,1,1,1,1,1,1,3,2,2,0,3,1,1,1,2,2,3,1,3,12,1,2,3,1,3,1,3,1,2,1,3,2,2,1,2,2,1,2,2,1,54,1.5
18,1,1,1,1,1,1,1,1,2,2,3,0,4,0,1,1,5,4,4,5,2,21,2,1,1,3,2,2,4,4,3,3,3,1,3,1,3,1,3,1,1,1,51,1.5
19,1,1,3,1,3,3,2,2,2,2,1,0,1,1,0,1,1,3,1,1,1,8,3,3,3,4,3,2,2,4,2,4,1,3,3,3,3,4,1,3,4,2,45,5
20,1,3,1,1,2,3,3,1,2,2,1,2,4,0,1,1,3,4,4,1,2,15,3,2,1,3,4,3,1,1,3,3,2,3,2,1,3,4,2,2,4,4,33,1.5
22,1,1,1,1,1,3,2,2,2,1,2,0,1,0,1,1,1,1,1,1,1,6,1,2,2,1,2,3,1,2,1,2,1,2,2,1,2,1,1,2,2,2,49,1
20,1,3,3,1,1,1,1,4,1,2,1,0,1,0,1,3,1,2,2,1,1,10,4,4,1,3,3,4,1,1,4,4,1,1,1,1,4,4,1,1,4,4,25,4
17,1,1,1,1,4,1,3,1,2,2,1,2,3,1,1,1,4,1,4,1,1,12,4,1,1,4,4,2,1,1,3,4,1,2,1,1,4,2,1,2,2,3,30,1.5
19,1,1,1,3,4,2,2,1,1,2,3,0,1,0,0,1,2,1,5,3,2,14,3,4,4,1,1,3,4,3,1,4,4,2,4,4,1,2,3,4,3,3,64,1.5
18,1,1,1,1,4,5,2,2,1,2,1,0,3,1,1,1,1,3,3,1,2,11,1,3,3,3,4,2,3,2,3,2,3,2,3,2,3,2,3,2,3,3,50,1
21,2,3,1,2,1,3,2,4,2,2,1,1,1,1,1,4,3,2,3,3,3,18,3,2,2,2,2,3,3,3,2,2,3,3,3,3,2,2,3,2,2,2,55,0
21,1,3,3,1,2,2,2,2,2,2,1,1,3,0,1,2,4,2,3,2,3,16,3,2,3,2,3,2,2,3,3,3,2,2,2,3,2,2,2,3,2,2,50,5
19,1,1,1,4,4,1,1,1,2,2,1,2,1,0,0,1,2,1,1,1,1,7,1,3,3,2,3,1,1,3,1,3,3,3,3,3,3,2,2,3,4,4,53,1.5
19,1,1,1,3,1,2,2,1,1,1,1,1,4,1,0,2,1,3,2,1,2,11,3,3,2,4,1,3,4,3,4,1,4,3,4,4,1,2,4,4,3,3,60,1.5
18,1,1,1,2,4,1,2,1,2,2,1,2,3,0,0,1,1,1,1,1,1,6,1,2,1,1,1,1,1,2,1,3,3,3,2,3,1,2,3,2,3,3,55,1.5
22,1,3,3,3,2,2,2,1,1,2,1,0,3,0,2,1,2,1,3,2,3,12,4,2,4,3,4,2,4,2,2,3,2,2,2,2,4,2,2,3,2,2,47,5.5
20,1,1,4,1,1,2,4,2,3,1,2,1,4,1,2,3,2,2,2,2,2,13,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,50,7
21,1,3,1,1,1,1,1,1,1,2,1,0,3,1,0,1,1,1,1,1,1,6,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,48,1.5
18,1,1,4,1,4,3,4,4,2,2,1,2,3,1,1,1,2,3,2,5,4,17,1,1,1,2,1,2,1,2,1,2,1,2,1,2,1,2,2,1,2,3,47,6
21,1,3,3,4,1,2,3,4,2,1,1,0,3,0,1,1,2,1,2,2,3,11,3,3,3,3,3,3,2,2,2,2,3,2,3,3,2,2,1,3,2,2,51,4
20,0,3,3,3,2,2,2,2,2,1,1,1,1,0,2,2,2,3,1,2,2,12,1,3,3,2,3,3,3,2,3,3,3,3,2,2,3,3,3,2,3,3,49,5
20,1,3,3,4,2,3,2,2,2,2,1,0,1,1,1,3,4,4,3,4,5,23,3,2,2,3,4,2,2,3,3,3,3,2,2,2,3,3,2,1,4,4,39,5
21,0,3,3,3,1,1,2,2,1,1,1,0,1,0,2,1,1,4,2,3,4,15,3,3,3,3,3,4,3,3,4,4,2,2,4,3,2,1,2,4,1,2,52,5
21,1,3,1,3,4,3,2,1,2,2,1,1,2,0,1,3,3,3,3,3,3,18,2,2,2,2,3,3,3,3,3,3,3,2,3,3,2,3,2,3,3,3,49,1.5
26,0,5,1,1,2,1,2,1,2,2,3,1,1,0,1,1,1,1,3,1,2,9,3,4,4,2,2,2,3,2,2,3,4,4,4,4,3,3,3,4,3,3,60,1.5
19,0,1,1,3,4,1,2,1,2,2,3,2,3,1,1,3,2,3,3,1,2,14,2,2,4,2,1,1,3,2,3,3,2,3,4,2,3,3,1,4,3,2,54,1.5
18,1,1,1,4,4,3,2,2,1,2,3,0,3,1,1,1,1,2,1,2,1,8,4,1,1,1,4,4,1,1,2,4,1,1,1,1,1,4,1,1,4,3,29,1
21,1,1,4,1,1,1,1,2,1,2,1,0,4,0,0,1,1,1,2,5,5,15,4,1,1,1,4,4,4,1,1,4,1,1,1,2,1,4,4,4,4,1,42,7
21,1,3,3,2,3,3,2,2,1,2,1,2,4,1,1,2,3,3,3,3,2,16,3,2,2,3,3,3,2,3,2,3,2,3,2,2,3,3,2,2,3,3,43,5
18,1,1,3,3,1,3,2,2,2,2,1,0,4,0,0,1,1,1,1,1,1,6,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,50,5
20,1,3,1,4,1,1,1,2,1,2,3,0,1,0,1,3,2,3,3,3,1,15,1,1,2,2,2,1,2,2,1,2,2,3,2,2,2,2,2,1,2,2,52,1
20,1,3,1,4,4,4,3,1,1,2,1,0,1,1,0,1,1,1,2,1,1,7,3,1,1,1,4,4,1,1,4,4,1,1,4,1,4,2,4,1,4,4,32,1.5
19,0,2,3,1,3,3,2,3,2,2,3,2,3,0,0,2,1,4,4,2,1,14,1,3,3,1,1,2,3,3,1,3,3,4,4,3,3,2,3,4,2,2,65,4.5
19,1,1,5,1,1,1,1,2,3,1,1,2,1,0,0,4,4,5,3,3,5,24,3,3,3,1,1,2,3,3,1,1,1,1,1,1,1,1,4,4,1,1,61,9
20,0,4,3,2,1,1,3,1,3,2,1,0,1,1,0,1,1,1,1,1,1,6,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,50,5.5
19,1,1,3,3,1,3,3,1,2,2,1,0,3,0,1,2,1,4,2,1,2,12,3,2,2,2,3,3,4,3,3,4,3,3,3,3,3,3,3,3,4,2,49,5.5
20,0,3,1,4,1,1,2,1,2,2,2,0,3,0,2,1,1,1,1,3,3,10,3,2,1,2,1,3,3,3,1,1,2,1,3,3,1,4,1,4,3,4,50,1.5
21,1,3,1,3,1,2,2,1,4,2,3,1,4,0,1,3,3,3,3,3,3,18,3,4,3,2,4,2,3,4,2,3,4,3,3,4,2,3,3,4,3,2,59,1.5
19,0,1,5,1,3,5,4,7,1,1,3,1,1,0,1,4,5,5,5,5,5,29,1,4,2,2,2,1,2,2,1,3,3,3,2,2,2,3,2,2,2,2,55,6.5
20,1,3,4,1,2,4,3,1,1,2,1,0,3,1,1,1,1,1,1,1,1,6,4,1,1,4,4,4,1,1,4,4,1,1,1,1,4,4,1,1,4,4,20,7.5
19,0,3,1,3,1,3,2,1,2,2,3,1,4,0,1,1,3,4,2,1,3,14,1,1,1,1,2,1,1,1,1,3,3,3,4,3,3,1,2,3,2,2,55,1.5
19,0,3,3,1,1,2,1,2,1,2,1,0,2,0,0,2,3,4,3,2,1,15,4,2,3,4,4,3,2,2,3,3,2,3,2,2,3,3,3,2,3,3,40,5
21,0,3,3,3,2,3,2,2,2,2,1,1,1,1,1,4,4,4,4,5,4,25,3,1,2,3,4,4,4,4,4,3,3,2,3,2,3,3,2,2,3,2,43,5
19,1,1,1,2,1,1,2,1,1,2,1,2,3,0,1,1,3,1,4,3,3,15,3,4,2,4,4,3,1,3,4,3,3,1,3,3,3,2,4,1,4,4,41,1.5
19,1,1,4,4,4,4,2,2,2,2,1,0,4,0,1,4,4,3,5,1,5,22,3,4,2,4,4,3,2,3,4,4,4,4,3,3,4,4,1,3,4,4,41,7
19,1,1,3,2,4,4,3,2,1,2,1,2,4,0,1,1,3,2,1,1,1,9,4,1,1,4,4,4,1,2,3,4,2,1,2,1,4,3,1,1,4,4,25,5
18,0,1,1,3,3,3,1,2,1,2,3,1,1,0,2,2,3,5,5,5,5,25,3,4,3,2,2,2,3,3,3,3,4,1,2,4,3,3,3,3,3,3,53,1
20,1,2,3,1,4,1,1,2,1,2,1,0,3,0,0,3,2,3,3,2,5,18,3,2,2,4,4,4,1,4,4,4,3,4,3,3,3,3,2,2,2,3,42,5
21,0,3,1,1,4,3,1,1,1,2,1,1,3,0,1,2,3,1,3,3,4,16,2,2,3,2,1,2,3,2,4,4,4,4,3,4,1,4,4,3,3,3,56,1.5
20,0,1,3,3,1,2,2,4,2,2,1,0,3,0,2,1,3,4,1,1,3,13,1,2,2,4,3,3,1,2,1,1,2,1,3,3,1,2,3,2,4,4,47,4
