Age,Gender,Ayear,scl_med_t,free_time,frnd_prsnl,scl_sprt_v_prsnl,scl_spc_cnt_ppl,scl_md_lmt,scl_md_mt_frn,pref_talk,Othr_pst,Oth_lkd_wshd,scl_md_jn,I_or_E,scl_md_C19,scl_md_1,scl_md_2,scl_md_3,scl_md_4,scl_md_5,scl_md_6,scl_md_ol,lnl_1,lnl_2,lnl_3,lnl_4,lnl_5,lnl_6,lnl_7,lnl_8,lnl_9,lnl_10,lnl_11,lnl_12,lnl_13,lnl_14,lnl_15,lnl_16,lnl_17,lnl_18,lnl_19,lnl_20,lnl_ol,compuls
21,1,3,3,3,4,4,2,4,3,1,1,0,3,1,1,3,3,4,3,3,1,17,3,3,4,2,3,3,4,4,3,2,2,2,3,3,4,2,2,3,1,1,56,4
19,1,2,3,3,1,3,2,2,3,2,3,1,2,0,1,3,4,2,1,3,2,15,2,1,3,1,3,2,1,3,2,2,2,1,3,2,2,2,2,1,3,3,47,5
22,1,3,3,1,4,3,2,4,2,2,3,2,4,0,1,2,3,2,3,3,2,15,2,3,3,3,3,3,4,4,4,3,3,3,3,3,3,3,3,3,3,3,52,4
20,1,3,1,1,4,4,3,1,1,2,2,2,4,1,0,2,2,2,4,1,1,12,3,2,2,3,4,2,1,1,3,4,2,3,2,2,3,2,1,1,4,3,36,1.5
21,0,3,1,4,4,3,1,1,1,2,1,1,4,1,0,1,1,2,1,1,1,7,4,2,1,1,2,2,4,2,4,4,2,1,1,3,3,4,1,2,4,4,37,1.5
21,1,3,3,3,2,2,2,2,2,2,1,2,1,0,1,1,1,2,1,1,1,7,3,2,3,1,2,1,3,4,4,2,2,4,4,3,1,2,3,3,2,2,61,5
20,1,3,1,4,4,4,2,1,1,2,1,0,3,0,1,1,1,1,1,1,2,7,1,1,2,3,1,1,2,3,1,2,1,2,3,2,2,2,1,2,1,1,54,1.5
20,0,3,3,1,2,2,2,2,2,2,2,2,3,0,1,2,4,2,4,3,4,19,3,2,1,4,3,3,1,1,1,4,1,1,2,1,3,4,2,1,4,4,30,5
20,0,3,3,1,1,5,3,4,2,2,3,1,1,0,1,3,2,2,2,3,2,14,1,2,2,3,1,1,2,2,2,3,2,2,2,3,2,3,2,2,3,2,50,4
20,0,3,3,1,4,2,3,4,2,2,2,2,1,0,2,1,2,2,3,1,2,11,2,1,1,1,3,3,1,3,3,3,1,2,1,2,2,2,2,2,2,3,42,4
18,0,1,3,3,3,3,2,2,1,1,1,1,1,0,1,2,2,4,3,3,4,18,1,1,4,4,1,1,4,4,3,4,2,3,3,4,1,4,4,4,4,4,56,5
21,1,3,1,3,3,4,3,2,1,2,1,2,3,0,0,2,2,2,2,2,2,12,2,2,2,2,2,2,2,2,2,3,2,3,2,3,2,3,2,3,2,3,50,1
23,0,3,3,1,2,5,1,2,1,2,1,0,1,1,0,1,2,4,1,1,1,10,1,1,1,1,1,3,1,1,3,3,1,3,1,1,4,4,2,1,4,4,35,5
18,0,1,1,1,1,1,2,1,1,2,1,1,1,0,0,3,5,1,5,1,4,19,3,2,2,4,3,2,3,2,2,4,4,1,4,4,4,3,1,1,3,3,43,1.5
21,1,2,5,1,1,1,1,4,2,2,1,1,4,0,1,1,1,2,4,3,4,15,1,4,4,3,3,2,1,3,3,3,1,1,4,4,4,3,2,3,3,3,49,8
22,1,3,1,4,1,2,2,1,1,2,3,1,4,1,2,1,2,2,2,2,2,11,3,2,2,3,2,2,2,3,2,4,3,3,1,3,4,4,2,3,4,4,42,1.5
23,0,4,1,3,3,1,1,2,2,2,3,1,3,1,1,2,3,3,2,3,2,15,3,1,1,3,2,1,1,2,3,3,2,2,2,2,3,3,2,3,3,3,41,1
20,0,2,4,1,2,2,1,2,1,2,1,0,1,1,2,1,3,5,2,2,2,15,3,3,4,1,1,3,4,2,4,1,3,3,4,3,1,2,2,3,2,2,61,7
20,0,1,2,4,3,1,3,2,2,1,1,0,3,1,1,1,3,2,2,3,1,12,4,2,2,4,2,2,4,2,3,3,2,2,4,4,3,2,4,4,1,3,53,3
20,0,3,4,1,3,3,3,4,2,2,2,0,3,1,2,3,2,2,1,1,4,13,2,2,2,3,4,4,2,2,2,4,1,2,2,1,3,4,1,3,4,2,36,6
20,1,3,1,2,2,3,2,2,2,2,3,0,3,0,1,1,1,2,2,2,1,9,3,1,1,4,4,4,1,1,3,3,1,1,1,1,4,4,1,1,3,3,25,1
20,1,3,1,2,4,1,2,1,1,2,3,2,3,1,0,1,1,1,5,1,1,10,4,1,1,4,4,2,2,3,3,2,3,2,4,2,4,2,4,3,2,2,46,1.5
20,1,2,3,1,1,5,4,4,4,1,1,1,3,0,2,4,5,5,3,4,5,26,3,4,4,1,3,3,4,4,4,4,4,4,3,3,1,1,4,4,1,1,66,4
21,1,2,1,2,3,2,3,2,2,2,1,1,3,0,1,1,2,3,3,2,3,14,3,2,2,3,3,3,3,2,3,4,3,3,2,3,3,3,2,2,4,3,42,1
18,1,1,1,4,4,5,3,2,3,1,3,0,4,0,1,1,3,1,5,2,2,14,1,3,3,3,2,1,3,4,1,3,2,3,3,2,4,3,4,3,4,4,54,1
21,0,1,3,4,1,1,2,2,2,2,2,0,3,1,1,2,3,3,1,4,4,17,1,3,3,3,2,2,2,2,3,3,3,3,1,2,2,2,2,2,2,3,50,5
19,1,3,3,1,3,5,2,2,2,2,2,2,4,0,1,3,2,3,3,1,1,13,4,3,3,2,4,3,3,2,4,2,2,1,1,2,3,2,3,4,3,3,44,5
20,0,3,3,1,1,3,2,4,2,2,1,1,3,1,1,3,3,5,3,2,3,19,4,2,3,3,4,4,2,2,4,4,2,2,2,2,3,2,1,2,3,3,36,4
20,1,3,1,2,2,2,2,0,1,2,1,0,3,1,2,1,2,1,2,1,1,8,3,3,2,3,3,1,1,4,3,2,1,2,3,1,3,1,3,2,3,3,47,2
21,1,3,4,1,4,1,2,1,2,2,3,1,3,1,1,4,4,4,4,4,5,25,2,3,4,2,4,3,4,4,4,2,4,2,4,4,1,1,3,4,1,1,65,7.5
19,0,1,5,3,1,5,3,1,2,1,1,0,1,0,2,1,5,5,3,3,5,22,3,4,1,4,4,2,1,3,3,4,1,4,4,2,4,4,3,2,4,4,39,9.5
20,1,3,1,3,2,3,1,1,3,2,1,0,4,1,0,3,3,2,3,3,2,16,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,3,2,1,2,2,47,1.5
21,1,3,1,2,3,3,2,2,1,2,1,2,1,1,1,1,1,3,1,2,3,11,3,3,3,3,3,3,3,2,4,3,4,4,4,4,4,2,4,3,3,3,53,1
19,1,1,1,1,1,1,2,1,3,2,2,0,3,0,0,1,1,2,1,1,5,11,3,3,3,4,2,2,4,2,1,1,1,1,4,1,1,1,1,4,1,1,57,1.5
19,1,3,4,3,1,5,3,4,4,2,1,0,3,0,1,2,3,5,2,3,1,16,2,4,4,2,1,1,4,3,1,2,4,3,4,3,1,1,2,4,2,1,71,6
20,1,3,1,1,1,1,2,1,2,2,1,1,4,0,1,2,2,3,3,1,3,14,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,50,1.5
20,1,4,4,1,2,3,3,4,3,2,1,2,4,1,1,2,2,3,3,2,1,13,3,3,2,3,3,3,3,1,3,4,1,2,2,3,3,3,1,3,3,3,40,6
20,0,3,1,4,4,2,2,2,1,2,1,0,2,0,0,1,1,3,1,1,1,8,1,1,1,4,4,3,1,2,3,4,1,1,2,1,4,4,1,1,4,4,27,1
20,1,4,1,3,1,2,3,2,2,2,1,1,3,1,1,2,3,2,1,2,2,12,2,1,2,3,2,2,2,2,2,3,3,1,2,1,2,2,2,1,2,2,45,1
20,1,3,2,2,2,1,2,1,1,2,3,1,3,0,1,3,2,3,3,3,4,18,3,2,2,3,3,2,3,2,2,2,2,3,2,3,3,3,3,2,3,2,48,3.5
19,1,1,2,1,1,5,3,1,1,1,2,2,1,0,1,2,2,1,2,1,1,9,2,3,3,2,3,3,2,1,2,2,1,2,3,2,2,2,2,3,2,2,50,3.5
20,1,3,1,2,2,3,2,1,2,2,1,0,1,1,1,1,1,1,1,1,1,6,3,1,1,2,4,3,1,3,4,4,1,1,1,1,3,4,1,4,4,4,30,1.5
19,1,1,2,4,2,1,2,2,2,2,1,0,3,0,1,3,2,2,3,1,1,12,1,2,1,2,4,2,3,3,1,4,1,2,2,4,2,2,1,3,4,4,46,3
22,0,3,1,4,1,1,2,1,1,2,1,1,1,1,2,1,3,1,3,3,3,14,3,2,3,3,3,2,2,3,3,3,2,2,4,2,3,2,2,3,3,3,47,1.5
18,1,1,3,1,2,2,2,2,1,2,1,0,3,1,1,1,1,1,2,1,1,7,3,2,3,4,4,4,1,3,3,3,1,1,4,1,3,4,2,1,4,4,33,5
22,1,4,3,4,1,1,2,2,3,2,1,0,4,0,1,1,2,1,1,1,1,7,3,1,1,4,4,4,1,1,3,4,1,2,1,1,4,4,1,1,4,4,23,5
19,1,1,1,4,4,3,3,2,2,2,1,0,4,0,1,1,3,2,1,2,1,10,2,3,2,3,4,1,1,4,2,3,2,1,4,3,2,3,2,3,4,4,47,1
20,1,3,2,1,1,2,1,1,2,2,3,1,4,0,1,2,1,1,2,1,2,9,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,50,3.5
21,1,3,2,1,4,1,2,2,1,2,1,2,4,0,0,3,2,1,4,1,1,12,1,2,2,1,2,2,3,1,3,3,1,2,1,1,3,4,2,2,4,4,40,3
21,1,3,2,3,3,3,2,1,2,2,2,1,1,0,1,3,3,3,3,3,3,18,3,2,2,4,4,2,1,3,4,4,2,2,2,3,2,3,2,3,4,4,38,3.5
21,0,3,3,1,1,1,2,2,1,2,1,2,1,0,1,1,2,4,2,3,2,14,2,4,4,1,2,2,4,3,4,2,4,2,3,3,2,1,4,4,2,2,65,5
20,1,3,3,3,4,3,3,2,1,2,1,1,1,1,0,1,2,1,4,1,3,12,3,3,2,3,4,4,1,1,4,4,1,3,4,1,2,3,2,1,4,3,35,5
21,1,3,1,4,3,4,2,1,2,2,1,2,4,1,1,1,3,1,1,1,1,8,3,1,1,3,4,4,1,2,2,2,3,3,2,1,3,2,4,3,4,3,41,1.5
18,1,1,1,3,3,3,3,1,1,1,3,2,3,1,1,2,2,3,3,1,2,13,2,2,4,1,2,1,4,4,2,2,3,4,4,4,4,1,2,4,2,2,66,1.5
20,1,1,1,3,1,2,2,2,1,2,3,0,1,0,0,1,2,3,1,1,1,9,4,3,3,4,4,3,3,3,2,3,3,3,3,3,3,3,1,4,3,3,47,1
18,1,1,2,4,4,2,2,1,1,1,1,1,1,1,2,3,3,2,2,1,1,12,3,3,3,3,3,4,2,2,2,1,1,1,2,1,3,3,1,2,4,4,38,3.5
20,1,3,3,3,4,1,1,2,3,2,1,0,3,1,1,3,1,4,4,1,4,17,4,1,1,1,4,4,1,2,2,4,1,3,3,2,4,4,3,2,4,4,34,5
18,1,1,2,1,3,1,1,2,3,2,1,0,1,0,0,3,3,4,5,4,4,23,2,4,4,1,1,1,4,4,4,1,4,3,4,4,1,2,1,4,1,3,69,3
19,1,3,3,3,1,3,1,1,1,2,1,0,1,0,1,1,1,2,2,1,4,11,3,2,2,2,3,3,1,1,4,3,1,1,3,2,2,2,2,1,4,3,37,5.5
19,1,1,1,2,4,3,3,1,1,2,3,0,4,0,1,1,1,2,1,1,1,7,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,50,1.5
19,1,1,1,4,1,3,1,1,1,2,1,0,4,0,0,1,1,1,1,1,1,6,3,4,4,3,4,1,3,3,2,2,2,1,3,4,1,1,3,3,3,3,57,1.5
20,1,1,1,1,4,3,3,2,1,2,3,2,3,0,1,2,2,3,4,4,4,19,3,3,4,1,3,1,3,4,4,1,4,1,4,4,3,1,2,4,1,1,64,1
19,1,1,2,3,1,1,1,2,2,1,3,1,4,0,0,4,2,2,4,1,2,15,2,3,3,1,1,1,4,4,3,3,4,3,4,4,3,1,4,4,2,1,69,3
19,1,1,2,1,2,1,2,2,1,2,1,1,3,0,0,3,4,4,3,2,3,19,4,3,3,4,4,4,3,3,3,3,3,1,3,3,4,4,3,3,3,3,42,3
18,1,1,4,1,3,3,2,4,1,2,1,1,3,1,1,3,2,3,1,3,1,13,1,3,2,3,3,3,3,3,1,3,2,1,1,3,3,3,3,1,3,3,46,6
20,1,3,3,1,2,2,4,4,4,1,2,1,4,0,1,5,5,5,5,5,5,30,3,4,3,3,4,3,3,3,4,3,3,3,4,4,3,3,3,4,4,4,50,4
21,1,3,1,4,1,1,2,0,1,2,1,2,4,1,0,1,1,1,2,2,1,8,4,2,2,4,3,4,1,2,2,3,1,3,4,3,3,3,1,2,4,2,39,2
19,1,2,2,3,1,2,2,1,2,2,1,0,4,0,1,2,3,4,4,4,2,19,3,3,3,2,3,2,1,4,3,4,3,2,4,2,4,2,3,3,4,3,48,3.5
18,1,1,1,1,1,1,4,1,2,2,1,1,1,1,0,3,2,5,3,2,3,18,3,1,1,3,4,4,1,2,3,4,1,2,3,1,3,4,3,2,4,4,31,1.5
19,1,1,1,4,1,2,2,4,1,2,1,0,3,0,0,1,1,1,1,1,3,8,2,3,3,4,4,4,1,3,2,4,4,1,4,2,3,2,1,2,4,3,42,0
22,1,4,1,1,4,4,2,1,1,2,1,0,4,1,1,1,2,1,2,1,1,8,3,1,1,1,4,3,1,2,2,4,1,1,1,1,3,4,1,1,4,4,29,1.5
20,1,2,1,4,4,3,2,1,1,2,1,0,1,0,0,1,1,1,1,1,1,6,3,1,1,4,4,3,1,2,3,3,1,1,1,1,4,4,1,1,4,4,25,1.5
18,1,2,1,3,4,1,2,1,1,2,1,0,4,0,0,1,1,3,1,1,1,8,4,1,1,4,4,4,1,4,1,4,1,4,1,1,4,4,1,3,4,4,31,1.5
19,1,2,1,3,4,1,2,1,1,2,1,0,1,1,2,3,2,3,2,3,5,18,3,2,1,1,1,1,4,4,1,1,4,3,1,4,2,1,3,1,1,1,64,1.5
18,0,0,2,2,1,3,3,2,1,2,1,1,4,1,1,2,4,3,3,1,1,14,2,3,3,1,3,3,2,1,3,4,3,3,2,2,2,3,3,3,2,2,50,3
21,1,2,4,1,4,3,3,2,2,1,1,2,1,1,2,2,3,3,4,2,2,16,4,3,2,3,3,2,3,4,3,3,3,3,2,3,3,2,2,3,3,3,49,7
21,1,2,4,1,3,2,2,2,4,1,1,1,4,0,1,3,3,2,4,3,3,18,3,2,4,3,3,2,3,1,3,3,2,3,4,2,3,2,3,3,3,2,50,7
24,0,5,3,3,4,1,2,2,2,2,1,0,1,0,1,1,2,3,2,3,3,14,3,4,3,3,2,4,4,3,4,4,3,4,3,3,4,3,4,4,3,3,52,5
18,1,1,1,4,2,2,2,1,2,2,1,0,1,0,0,2,2,1,4,2,2,13,3,3,2,3,2,3,1,3,3,4,3,3,2,3,3,3,2,3,4,4,43,1.5
21,0,3,2,1,2,2,2,2,2,2,3,1,3,0,1,2,3,4,5,3,5,22,3,4,3,2,3,2,4,3,3,4,4,2,4,4,2,3,4,3,4,4,55,3
21,1,2,1,2,3,3,2,2,4,2,1,2,1,0,0,2,1,4,5,2,3,17,1,4,1,4,3,1,1,1,4,4,4,1,2,4,3,3,1,2,4,3,41,1
28,1,5,1,1,1,1,2,2,1,2,1,1,3,0,1,2,2,3,3,2,3,15,3,2,3,3,3,3,4,3,2,2,2,3,3,3,2,2,2,3,3,3,52,1
23,1,2,5,3,2,3,3,4,2,2,1,1,3,0,2,3,5,5,1,5,1,20,3,1,1,2,4,4,1,4,3,4,1,1,1,1,4,4,1,1,4,4,27,8
29,1,5,1,3,4,3,2,2,1,2,3,1,1,1,1,2,1,1,3,1,3,11,2,1,2,2,3,3,1,1,3,3,1,2,1,1,3,3,2,1,3,3,35,1
22,1,3,1,4,4,1,1,1,1,2,1,0,4,1,0,1,1,1,3,1,1,8,1,1,1,3,1,1,1,1,3,2,1,1,3,1,3,3,1,1,3,3,39,1.5
17,0,0,2,1,2,2,2,4,1,2,1,1,4,0,1,1,1,3,1,1,2,9,1,2,2,3,2,1,3,3,3,4,3,1,3,4,3,4,3,3,2,1,53,2
20,1,3,3,3,1,3,2,2,1,2,3,0,4,1,2,2,2,1,4,1,1,11,2,1,1,1,1,2,1,1,4,4,2,4,2,2,2,2,1,2,3,3,43,5
19,1,2,1,4,3,1,2,0,1,2,1,1,4,1,1,4,1,1,1,3,5,15,3,2,3,3,3,3,3,3,4,2,3,2,2,2,3,3,3,3,4,4,44,2
20,1,3,1,1,1,1,2,2,2,2,1,2,1,1,1,1,1,1,1,1,1,6,1,2,2,1,1,2,2,1,2,1,1,1,1,2,2,1,1,1,2,1,50,1
21,1,2,4,1,4,3,3,4,2,2,3,2,2,0,2,4,4,3,3,3,4,21,3,2,2,3,3,3,3,3,3,3,3,3,2,2,2,3,3,3,3,3,47,6
21,1,3,1,1,2,2,2,1,3,2,1,1,1,0,0,3,2,2,3,1,5,16,3,3,2,3,3,3,4,2,4,4,3,2,1,3,2,3,3,4,3,3,46,1.5
20,1,3,1,4,1,1,1,2,2,2,1,2,1,1,1,3,4,3,4,3,4,21,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,50,1
19,1,2,2,1,1,2,2,2,2,2,1,2,1,0,1,3,2,3,3,3,3,17,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,50,3
18,1,2,2,1,1,2,2,4,2,2,1,1,4,0,1,1,3,2,3,1,1,11,2,2,1,1,1,2,1,2,1,2,1,2,2,1,2,2,2,2,1,2,50,2
19,1,2,2,1,1,2,3,2,2,1,1,0,4,0,2,1,1,2,2,1,2,9,1,2,2,2,1,2,1,2,2,2,1,2,1,2,2,2,1,2,2,1,49,3
19,1,2,3,1,2,4,1,2,1,2,1,0,4,0,1,3,5,5,5,4,1,23,2,1,2,3,4,4,1,4,4,2,2,1,1,1,1,4,1,4,4,1,39,5
19,0,3,2,1,3,4,2,2,2,2,3,0,4,1,2,2,3,4,5,2,3,19,2,2,1,3,3,2,3,2,4,4,1,2,3,3,2,3,1,2,3,3,41,3
22,1,3,1,4,2,1,3,1,2,2,1,2,4,0,0,1,1,3,5,1,1,12,3,1,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,49,1.5
20,1,3,1,1,2,4,3,1,2,2,1,2,1,0,1,3,3,3,3,2,2,16,4,3,2,3,3,3,3,3,2,3,3,2,2,3,3,3,3,3,3,3,47,1.5
21,1,3,1,4,4,1,2,2,2,2,3,0,1,1,1,1,2,4,2,2,3,14,4,1,1,4,4,4,1,2,4,4,2,2,1,1,4,3,3,2,4,4,27,1
20,0,3,2,3,2,3,2,4,1,2,1,1,3,0,1,2,2,5,4,3,3,19,2,3,2,4,3,3,1,2,2,4,2,2,2,2,3,3,2,2,4,3,39,2
21,1,3,1,4,4,5,3,1,2,2,1,0,4,0,1,1,1,2,5,1,1,11,3,3,2,4,4,4,3,2,2,4,3,2,3,3,2,3,3,3,4,4,43,1.5
19,1,3,1,2,4,2,2,1,1,2,3,0,3,1,1,3,5,1,3,1,5,18,4,4,1,4,4,4,4,3,2,4,3,3,1,3,4,4,1,2,4,4,37,1.5
19,1,2,1,3,3,3,2,1,2,2,1,0,1,0,0,1,1,2,1,1,1,7,1,4,4,1,1,1,4,4,4,2,2,4,4,4,4,2,1,4,2,2,65,1.5
20,1,3,2,1,2,2,2,2,2,2,1,1,3,0,1,4,4,4,4,4,4,24,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,50,3
20,1,3,1,4,1,5,2,1,2,2,1,1,4,1,0,2,2,2,2,3,3,14,3,3,2,2,3,3,3,3,3,3,3,3,3,2,3,3,2,3,3,3,48,1.5
21,1,4,1,3,4,1,2,1,1,2,1,1,1,0,1,2,3,3,2,1,1,12,3,2,1,3,4,1,1,2,3,4,2,4,3,2,3,2,1,1,4,4,38,1.5
21,1,3,2,2,4,2,4,1,1,2,1,1,1,0,0,1,3,1,1,1,2,9,4,3,3,3,4,3,1,3,4,3,3,1,2,1,3,3,1,2,4,3,36,3.5
20,1,2,1,2,1,1,2,1,1,2,1,0,1,0,0,3,1,1,3,1,2,11,2,2,2,3,3,3,2,3,2,2,2,1,2,2,2,2,1,3,3,3,45,1.5
21,1,4,2,1,2,4,2,2,3,2,1,1,3,0,1,4,3,3,4,3,3,20,2,3,3,2,3,4,3,2,4,2,4,4,4,3,4,3,3,3,3,4,51,3
22,1,4,1,1,1,4,2,2,2,2,1,1,3,0,1,3,4,5,2,4,2,20,1,2,2,3,3,3,2,3,1,3,2,1,2,2,3,4,2,3,3,2,45,1
20,0,3,2,2,4,1,2,1,1,2,1,0,2,0,1,2,1,5,5,2,5,20,4,2,4,1,1,1,2,4,4,1,4,1,1,1,1,1,3,4,1,1,60,3.5
20,1,4,2,4,4,3,2,2,1,2,1,0,4,0,1,1,2,1,1,1,4,10,3,1,1,4,4,4,1,1,3,4,1,2,1,1,4,4,1,1,4,4,23,3
23,1,5,2,2,1,3,1,2,2,2,1,1,1,0,1,1,2,4,3,2,2,14,2,2,2,2,2,2,3,2,1,2,2,2,1,2,2,1,2,1,2,2,51,3
20,1,3,1,2,2,3,3,1,1,2,1,2,2,0,0,3,1,2,2,1,2,11,2,2,2,2,2,2,1,2,2,2,1,2,1,1,2,2,1,1,2,2,44,1.5
19,0,5,2,3,1,2,2,4,2,2,1,0,1,0,2,2,2,2,2,2,2,12,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,49,2
18,1,1,3,1,2,2,2,2,1,2,1,2,4,0,1,2,3,3,1,1,2,12,2,2,2,2,3,2,3,1,1,1,1,1,2,2,2,4,3,3,3,3,47,5
22,1,3,2,3,1,1,2,1,1,2,3,1,4,0,1,2,4,4,4,4,4,22,4,4,4,4,4,2,4,4,4,2,4,2,4,4,4,2,4,4,2,2,58,3.5
19,1,1,1,3,3,1,2,2,1,2,1,0,1,0,0,2,3,2,2,1,1,11,4,1,1,4,4,4,1,1,3,4,1,1,1,1,3,4,1,1,4,4,22,1
21,1,2,2,3,1,3,2,2,3,2,1,0,3,0,2,1,2,5,1,1,4,14,3,1,3,3,4,4,3,2,2,2,1,2,1,2,1,2,1,2,2,1,44,3
25,1,5,1,2,1,1,3,2,1,2,1,0,4,1,2,1,1,3,5,2,2,14,4,2,1,3,3,4,3,3,4,3,3,2,3,1,3,4,3,3,3,3,40,1
25,1,5,1,4,1,1,2,2,2,2,3,2,4,0,1,5,5,5,5,5,5,30,2,3,4,4,3,4,2,4,2,4,3,4,2,4,2,3,2,3,4,3,50,1
21,1,3,3,3,1,1,3,1,3,2,3,2,3,0,1,1,4,2,4,4,4,19,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,4,51,5.5
21,0,3,2,1,1,1,1,2,2,2,1,0,1,0,1,1,1,2,2,1,2,9,4,1,3,3,3,2,2,2,1,3,2,2,1,1,1,3,2,3,3,3,43,3
20,1,3,2,1,2,2,2,2,2,1,1,1,4,0,0,3,3,2,3,3,3,17,3,2,3,2,3,2,3,3,2,2,3,2,3,2,2,3,4,4,3,3,54,3
19,1,1,2,1,3,2,2,2,2,2,1,2,3,0,1,3,3,3,4,1,2,16,2,3,3,2,2,2,3,3,1,3,3,3,3,3,1,2,3,3,3,3,59,3
20,1,3,1,4,1,1,2,0,1,2,1,2,4,0,0,1,1,1,2,1,1,7,3,2,3,3,4,2,3,3,2,2,3,3,4,3,2,1,3,3,3,3,55,2
21,1,3,2,2,1,2,1,2,2,2,2,0,3,0,1,3,4,2,4,3,2,18,3,2,3,3,3,3,2,3,2,2,3,3,3,2,3,2,3,2,3,3,49,3
21,1,2,2,1,4,2,3,2,1,2,3,2,1,0,1,1,1,3,3,2,3,13,3,3,3,3,4,3,2,2,3,3,3,3,2,3,3,3,2,3,3,3,45,3
19,1,1,1,2,1,1,2,1,1,2,3,1,4,0,1,3,3,3,3,3,3,18,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,50,1.5
19,1,2,2,3,3,2,3,2,2,2,1,0,4,1,2,1,1,2,3,1,2,10,1,2,2,1,2,2,3,3,1,4,1,2,1,2,4,2,2,3,2,2,50,3
21,1,5,1,3,2,1,2,1,1,2,3,1,4,1,1,3,3,4,3,3,4,20,3,2,2,2,4,3,2,3,3,3,1,4,1,1,2,2,2,1,3,2,42,1.5
19,1,3,3,4,2,4,1,1,2,2,1,0,1,0,1,3,4,4,4,3,4,22,3,2,2,4,4,3,2,3,2,3,2,4,3,2,4,3,3,3,3,3,44,5.5
20,1,3,3,1,1,3,3,4,4,2,2,1,2,0,1,1,2,5,5,5,5,23,2,2,4,4,4,3,3,2,2,2,3,4,2,2,2,3,3,3,3,3,50,4
27,1,5,1,3,2,3,2,2,2,2,1,1,2,0,1,3,3,3,3,3,3,18,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,50,1
20,1,4,2,3,1,1,1,1,1,2,1,0,3,0,1,2,2,2,2,2,2,12,2,2,2,4,4,3,2,2,1,3,1,1,2,2,3,3,2,2,4,4,37,3.5
18,1,1,1,4,4,1,1,1,2,2,3,1,1,0,0,3,2,1,2,1,1,10,3,3,3,3,4,2,2,4,1,4,2,1,2,2,3,1,2,3,4,4,45,1.5
21,0,5,1,1,1,3,2,1,2,2,3,0,3,0,1,2,2,2,2,2,2,12,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,51,1.5
24,0,5,2,1,1,3,2,4,2,2,1,0,4,1,2,2,3,3,3,3,3,17,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,50,2
18,0,1,2,1,2,1,1,2,2,2,1,2,1,1,1,2,2,1,3,1,1,10,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,50,3
27,1,5,1,4,1,2,2,1,1,2,1,0,3,0,1,1,1,1,1,1,1,6,4,1,3,4,4,3,1,1,3,4,2,1,1,1,4,4,1,2,4,4,26,1.5
16,0,0,2,4,2,2,2,2,2,2,1,0,4,1,1,3,1,2,3,1,1,11,4,2,4,1,4,3,3,2,4,4,1,3,1,1,4,3,2,2,4,3,37,3
20,1,3,2,4,4,4,3,2,2,2,1,0,4,0,1,2,2,1,3,1,1,10,4,1,1,4,4,4,1,2,3,3,1,1,2,1,3,3,1,2,4,4,27,3
20,1,3,3,1,2,3,2,2,2,1,1,2,3,0,2,3,3,1,4,2,4,17,3,1,3,4,4,2,3,3,1,3,2,1,3,2,3,3,1,3,2,2,45,5
21,1,3,3,1,1,3,2,2,3,2,2,0,4,1,1,3,4,3,4,2,4,20,3,2,2,2,3,3,3,4,1,3,3,2,4,3,4,3,4,3,1,2,55,5
21,1,3,3,3,3,3,2,1,2,1,1,2,4,1,1,3,2,2,3,2,3,15,4,2,2,3,3,2,3,3,3,2,3,3,3,3,2,3,2,3,2,2,51,5.5
21,1,3,2,1,4,2,2,2,1,2,1,2,3,0,1,2,2,3,2,1,2,12,3,2,3,3,3,2,2,2,3,3,2,2,3,2,3,2,2,3,3,3,45,3
22,1,3,1,1,3,4,2,1,3,2,2,2,1,1,0,3,2,3,2,3,2,15,2,3,2,3,2,3,2,3,2,3,3,2,3,2,3,2,3,2,3,2,50,1.5
19,0,3,3,4,2,2,2,4,2,2,3,2,1,1,1,1,1,1,2,1,2,8,4,1,1,4,4,4,1,1,4,4,1,2,1,1,4,4,1,1,4,4,21,4
21,1,3,1,4,4,4,2,1,2,2,1,2,3,0,2,1,1,2,2,1,2,9,3,2,2,3,3,3,2,2,3,3,2,2,3,2,2,3,2,2,3,3,42,1.5
